type	model	precision	recall	F1
Logit	Logit4	0.605042016807	0.507042253521126	0.551724137931034
Logit	Logit4	0.504950495050	0.359154929577464	0.419753086419753
Logit	Logit4	0.648148148148	0.246478873239436	0.357142857142857
Logit	Logit4	0.521276595745	0.345070422535211	0.415254237288135
Logit	Logit4	0.551282051282	0.302816901408450	0.390909090909090
Logit	Logit4	0.525252525253	0.366197183098591	0.431535269709543
Logit	Logit4	0.577777777778	0.366197183098591	0.448275862068965
Logit	Logit4	0.626262626263	0.436619718309859	0.514522821576763
Logit	Logit4	0.516483516484	0.330985915492957	0.403433476394849
Logit	Logit4	0.484536082474	0.330985915492957	0.393305439330543
Logit	Logit4	0.577777777778	0.366197183098591	0.448275862068965
Logit	Logit4	0.471698113208	0.176056338028169	0.256410256410256
Logit	Logit4	0.524390243902	0.302816901408450	0.383928571428571
Logit	Logit4	0.579545454545	0.359154929577464	0.443478260869565
Logit	Logit4	0.567307692308	0.415492957746478	0.479674796747967
Logit	Logit4	0.400000000000	0.183098591549295	0.251207729468599
Logit	Logit4	0.634146341463	0.366197183098591	0.464285714285714
Logit	Logit4	0.577777777778	0.366197183098591	0.448275862068965
Logit	Logit4	0.543689320388	0.394366197183098	0.457142857142857
